,Unnamed: 0,Year,Make,Model,Price_x,Mileage,Location,TO_distance,Location_Region,loc,point,latitude,longitude,altitude,Location_Dist,Price_y
0,0,2018,GMC,Terrain,31988.0,53654.0,Toronto,12,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","(43.6534817, -79.3839347, 0.0)",43.6534817,-79.38393470000001,0.0,"Toronto, 12",32234.972459639128
1,1,2016,Toyota,Corolla,15995.0,61498.0,Toronto,8,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","(43.6534817, -79.3839347, 0.0)",43.6534817,-79.38393470000001,0.0,"Toronto, 8",32234.972459639128
3,3,2019,Ram,1500,35995.0,50.0,Scarborough,14,"Scarborough, Ontario","Scarborough, Scarborough Centre, Scarborough, Toronto, Golden Horseshoe, Ontario, M1P 4N7, Canada","(43.773077, -79.257774, 0.0)",43.773077,-79.257774,0.0,"Scarborough, 14",23342.97272727273
5,5,2019,MINI,Cooper,32680.0,6137.0,Markham,23,"Markham, Ontario","Markham, York Region, Golden Horseshoe, Ontario, Canada","(43.854336, -79.326782, 0.0)",43.854335999999996,-79.326782,0.0,"Markham, 23",33321.608695652176
6,6,2018,Cadillac,XT5,33988.0,55391.0,Toronto,12,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","(43.6534817, -79.3839347, 0.0)",43.6534817,-79.38393470000001,0.0,"Toronto, 12",32234.972459639128
7,7,2019,Ford,Escape,30995.0,28788.0,Toronto,14,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","(43.6534817, -79.3839347, 0.0)",43.6534817,-79.38393470000001,0.0,"Toronto, 14",32234.972459639128
8,8,2020,Kia,Sedona,26339.0,23986.0,Toronto,14,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","(43.6534817, -79.3839347, 0.0)",43.6534817,-79.38393470000001,0.0,"Toronto, 14",32234.972459639128
9,9,2017,Mazda,CX-3,18998.0,41215.0,Toronto,8,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","(43.6534817, -79.3839347, 0.0)",43.6534817,-79.38393470000001,0.0,"Toronto, 8",32234.972459639128
10,10,2015,Nissan,Rogue,15888.0,69233.0,Toronto,15,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","(43.6534817, -79.3839347, 0.0)",43.6534817,-79.38393470000001,0.0,"Toronto, 15",32234.972459639128
12,12,2019,Audi,Q5,36795.0,27526.0,Mississauga,21,"Mississauga, Ontario","Mississauga, Peel Region, Golden Horseshoe, Ontario, Canada","(43.590338, -79.645729, 0.0)",43.590338,-79.645729,0.0,"Mississauga, 21",29603.69920318725
13,13,2020,Nissan,Altima,25295.0,13344.0,Mississauga,21,"Mississauga, Ontario","Mississauga, Peel Region, Golden Horseshoe, Ontario, Canada","(43.590338, -79.645729, 0.0)",43.590338,-79.645729,0.0,"Mississauga, 21",29603.69920318725
14,14,2019,Kia,Stinger,47339.0,10899.0,Mississauga,30,"Mississauga, Ontario","Mississauga, Peel Region, Golden Horseshoe, Ontario, Canada","(43.590338, -79.645729, 0.0)",43.590338,-79.645729,0.0,"Mississauga, 30",29603.69920318725
15,15,2019,Acura,MDX,46495.0,8500.0,Markham,25,"Markham, Ontario","Markham, York Region, Golden Horseshoe, Ontario, Canada","(43.854336, -79.326782, 0.0)",43.854335999999996,-79.326782,0.0,"Markham, 25",33321.608695652176
16,16,2016,Chevrolet,Malibu,12988.0,67711.0,Burlington,45,"Burlington, Ontario","Burlington, Halton Region, Golden Horseshoe, Ontario, Canada","(43.3248924, -79.7966835, 0.0)",43.3248924,-79.7966835,0.0,"Burlington, 45",34201.60144927536
17,17,2019,Audi,A4,49900.0,11043.0,Oakville,37,"Oakville, Ontario","Oakville, Halton Region, Golden Horseshoe, Ontario, Canada","(43.447436, -79.666672, 0.0)",43.447435999999996,-79.66667199999999,0.0,"Oakville, 37",37314.167272727274
18,18,2018,Dodge,Grand,27888.0,29321.0,Aurora,38,"Aurora, Ontario","Aurora, York Region, Golden Horseshoe, Ontario, Canada","(43.99973, -79.467545, 0.0)",43.99973,-79.467545,0.0,"Aurora, 38",28785.244444444445
19,19,2015,Buick,Enclave,24774.0,71419.0,Thornhill,18,"Thornhill, Ontario","Thornhill, Vaughan, York Region, Golden Horseshoe, Ontario, L4J 4E5, Canada","(43.8161477, -79.4245925, 0.0)",43.8161477,-79.4245925,0.0,"Thornhill, 18",44930.72727272727
20,20,2015,Honda,Odyssey,22990.0,99000.0,Markham,29,"Markham, Ontario","Markham, York Region, Golden Horseshoe, Ontario, Canada","(43.854336, -79.326782, 0.0)",43.854335999999996,-79.326782,0.0,"Markham, 29",33321.608695652176
21,21,2016,Infiniti,Q50,21499.0,86945.0,Burlington,47,"Burlington, Ontario","Burlington, Halton Region, Golden Horseshoe, Ontario, Canada","(43.3248924, -79.7966835, 0.0)",43.3248924,-79.7966835,0.0,"Burlington, 47",34201.60144927536
22,22,2016,Nissan,Rogue,16500.0,71580.0,Mississauga,21,"Mississauga, Ontario","Mississauga, Peel Region, Golden Horseshoe, Ontario, Canada","(43.590338, -79.645729, 0.0)",43.590338,-79.645729,0.0,"Mississauga, 21",29603.69920318725
24,24,2014,Kia,Soul,15888.0,10.0,Oshawa,49,"Oshawa, Ontario","Oshawa, Durham Region, Golden Horseshoe, Ontario, Canada","(43.91768, -78.862953, 0.0)",43.91768,-78.862953,0.0,"Oshawa, 49",21395.27027027027
25,25,2019,Mazda,CX-5,36998.0,1500.0,Toronto,8,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","(43.6534817, -79.3839347, 0.0)",43.6534817,-79.38393470000001,0.0,"Toronto, 8",32234.972459639128
26,26,2018,Ford,F-150,43999.0,42285.0,Brampton,30,"Brampton, Ontario","Brampton, Peel Region, Golden Horseshoe, Ontario, Canada","(43.6858146, -79.7599337, 0.0)",43.6858146,-79.7599337,0.0,"Brampton, 30",31978.789743589743
