,Year,Make,Model,Price,Mileage,Location,TO_distance,Location_Region
0,2018,GMC,Terrain,31988.0,53654.0,Toronto,12,"Toronto, Ontario"
1,2016,Toyota,Corolla,15995.0,61498.0,Toronto,8,"Toronto, Ontario"
2,2015,Porsche,911,124899.0,55000.0,North York,17,"North York, Ontario"
3,2019,Ram,1500,35995.0,50.0,Scarborough,14,"Scarborough, Ontario"
4,2008,Pontiac,Torrent,1696.0,273694.0,Mississauga,27,"Mississauga, Ontario"
5,2019,MINI,Cooper,32680.0,6137.0,Markham,23,"Markham, Ontario"
6,2018,Cadillac,XT5,33988.0,55391.0,Toronto,12,"Toronto, Ontario"
7,2019,Ford,Escape,30995.0,28788.0,Toronto,14,"Toronto, Ontario"
8,2020,Kia,Sedona,26339.0,23986.0,Toronto,14,"Toronto, Ontario"
9,2017,Mazda,CX-3,18998.0,41215.0,Toronto,8,"Toronto, Ontario"
10,2015,Nissan,Rogue,15888.0,69233.0,Toronto,15,"Toronto, Ontario"
11,2010,Subaru,Forester,6995.0,222927.0,Toronto,15,"Toronto, Ontario"
12,2019,Audi,Q5,36795.0,27526.0,Mississauga,21,"Mississauga, Ontario"
13,2020,Nissan,Altima,25295.0,13344.0,Mississauga,21,"Mississauga, Ontario"
14,2019,Kia,Stinger,47339.0,10899.0,Mississauga,30,"Mississauga, Ontario"
15,2019,Acura,MDX,46495.0,8500.0,Markham,25,"Markham, Ontario"
16,2016,Chevrolet,Malibu,12988.0,67711.0,Burlington,45,"Burlington, Ontario"
17,2019,Audi,A4,49900.0,11043.0,Oakville,37,"Oakville, Ontario"
18,2018,Dodge,Grand,27888.0,29321.0,Aurora,38,"Aurora, Ontario"
19,2015,Buick,Enclave,24774.0,71419.0,Thornhill,18,"Thornhill, Ontario"
20,2015,Honda,Odyssey,22990.0,99000.0,Markham,29,"Markham, Ontario"
21,2016,Infiniti,Q50,21499.0,86945.0,Burlington,47,"Burlington, Ontario"
22,2016,Nissan,Rogue,16500.0,71580.0,Mississauga,21,"Mississauga, Ontario"
23,2011,Mazda,Mazda3,4100.0,207999.0,Whitby,42,"Whitby, Ontario"
24,2014,Kia,Soul,15888.0,10.0,Oshawa,49,"Oshawa, Ontario"
25,2019,Mazda,CX-5,36998.0,1500.0,Toronto,8,"Toronto, Ontario"
26,2018,Ford,F-150,43999.0,42285.0,Brampton,30,"Brampton, Ontario"
27,2019,Jeep,Compass,33503.0,18202.0,Toronto,14,"Toronto, Ontario"
28,2014,Honda,Fit,6490.0,92288.0,London,174,"London, Ontario"
29,2018,Acura,TLX,28289.0,62803.0,Midland,127,"Midland, Ontario"
30,2018,Cadillac,XT5,32988.0,36094.0,Toronto,12,"Toronto, Ontario"
31,2017,Land,Rover,32800.0,77890.0,North York,16,"North York, Ontario"
32,2018,BMW,X1,28999.0,46109.0,Toronto,18,"Toronto, Ontario"
33,2018,Kia,Optima,13600.0,73507.0,Woodbridge,27,"Woodbridge, Ontario"
34,2015,Nissan,Versa,11585.0,36625.0,Thornhill,17,"Thornhill, Ontario"
35,2008,Acura,RDX,5500.0,210993.0,Newmarket,45,"Newmarket, Ontario"
37,2017,Mercedes-Benz,E-Class,40999.0,40559.0,Toronto,15,"Toronto, Ontario"
38,2018,Mercedes-Benz,AMG,51895.0,66104.0,Whitby,45,"Whitby, Ontario"
39,2018,Volkswagen,Golf,36800.0,34821.0,North York,16,"North York, Ontario"
40,2016,Toyota,RAV4,28999.0,72199.0,Waterloo,94,"Waterloo, Ontario"
41,2016,Lincoln,MKX,32880.0,43247.0,Vaughan,20,"Vaughan, Ontario"
42,2016,BMW,X4,29500.0,72100.0,Dundas,64,"Dundas, Ontario"
43,2015,Honda,CR-V,17799.0,145851.0,Kitchener,87,"Kitchener, Ontario"
44,2015,Mazda,CX-5,15326.0,80603.0,Georgetown,41,"Georgetown, Ontario"
45,2010,Ford,Edge,12950.0,124800.0,Caledonia,80,"Caledonia, Ontario"
46,2014,Dodge,Grand,10995.0,152362.0,Toronto,15,"Toronto, Ontario"
47,2010,Mercedes-Benz,GLK350,8600.0,114237.0,North York,13,"North York, Ontario"
48,2018,Chevrolet,Cruze,17550.0,50244.0,Barrie,89,"Barrie, Ontario"
49,2019,Dodge,Grand,22990.0,32358.0,Cambridge,82,"Cambridge, Ontario"
50,2020,Ford,Mustang,35788.0,5349.0,Toronto,1,"Toronto, Ontario"
51,2019,Ford,Escape,23888.0,4815.0,Bolton,37,"Bolton, Ontario"
